年份,日期,周数,起始时间,结束时间,类型,金额,持续时间,时间段,备注
2025,2025-12-01,49.0,13:00:00,14:00:00,单打,38.0,1.0000000000000018,中午,
2025,2025-12-01,49.0,21:00:00,22:00:00,单打,48.0,0.9999999999999991,晚上,
2025,2025-12-04,49.0,07:00:00,09:00:00,练球,15.0,1.9999999999999996,早上,
2025,2025-12-05,49.0,21:00:00,22:00:00,单打,43.25,0.9999999999999991,晚上,
2025,2025-12-08,50.0,21:00:00,22:00:00,单打,43.0,0.9999999999999991,晚上,
2025,2025-12-10,50.0,07:00:00,09:00:00,练球,35.5,1.9999999999999996,早上,
2025,2025-12-11,50.0,12:00:00,14:00:00,双打,24.0,2.000000000000001,中午,
2025,2025-12-15,51.0,12:00:00,14:00:00,练球,22.5,2.000000000000001,中午,
2025,2025-12-20,51.0,12:00:00,14:00:00,双打,25.67,2.000000000000001,中午,zsp 单线区断线
2025,2025-12-21,51.0,21:00:00,22:00:00,单打,40.75,0.9999999999999991,晚上,90km 单线区断线
2025,2025-12-24,52.0,07:00:00,09:00:00,练球,22.75,1.9999999999999996,早上,
2025,2025-12-30,53.0,20:00:00,22:00:00,双打,28.87,1.9999999999999982,晚上,6人双打，亚C
2026,2026-01-01,1.0,15:00:00,18:00:00,双打,54.37,3.0,下午,16人3场地
2026,2026-01-03,1.0,20:00:00,22:00:00,双打,24.73,1.9999999999999982,晚上,4人混双
2026,2026-01-06,2.0,20:00:00,22:00:00,单打,55.84,1.9999999999999982,晚上,3人轮单，亚C
2026,2026-01-09,2.0,07:00:00,09:00:00,练球,15.0,1.9999999999999996,早上,黑金隼磨断线
2026,2026-01-12,3.0,07:00:00,09:00:00,练球,23.5,1.9999999999999996,早上,
2026,2026-01-13,3.0,07:00:00,09:00:00,练球,22.75,1.9999999999999996,早上,
2026,2026-01-17,3.0,20:00:00,22:00:00,双打,41.25,1.9999999999999982,晚上,4人双打，zsp 单线区断线
2026,2026-01-18,3.0,19:00:00,21:00:00,单打,49.17,2.000000000000001,晚上,
2026,2026-01-20,4.0,07:00:00,09:00:00,练球,170.0,1.9999999999999996,早上,丢失一桶球（10颗）155
2026,2026-01-20,4.0,21:00:00,22:00:00,单打,39.0,0.9999999999999991,晚上,
2026,2026-01-23,4.0,21:00:00,22:00:00,单打,44.22,0.9999999999999991,晚上,
2026,2026-01-24,4.0,20:00:00,22:00:00,单打,45.01,1.9999999999999982,晚上,3人轮单，翎美F2
2026,2026-01-31,5.0,19:00:00,21:00:00,单打,60.51,2.000000000000001,晚上,3人轮单，亚S亚2，zsp 单线区断线
2026,2026-02-06,6.0,21:00:00,22:00:00,单打,15.5,0.9999999999999991,晚上,3人轮单，黑金隼 单线区断线
2026,2026-02-07,6.0,16:00:00,18:00:00,双打,22.5,2.000000000000001,下午,6人轮双